station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KDTW,mlp,MaxT,Bias,0.8383106912653129,0.8135277284327754,0.0247829628325374,44
KDTW,mlp,MaxT,Lags,0.8135277284327754,0.8135277284327754,0.0,42
KDTW,mlp,MaxT,Rolling,0.8090110816902918,0.8135277284327754,-0.0045166467424836,36
KDTW,mlp,MaxT,NWP_atmosphere,0.811066207986435,0.8135277284327754,-0.0024615204463404,43
KDTW,mlp,MaxT,Physics,0.81095452576165,0.8135277284327754,-0.0025732026711254,41
KDTW,mlp,MaxT,Time,0.8120610665396781,0.8135277284327754,-0.0014666618930972,44
KDTW,catboost,MinT,ECMWF,1.4805613845892065,1.464509975219636,0.0160514093695702,44
KDTW,catboost,MinT,Bias,1.4156481471213882,1.464509975219636,-0.0488618280982477,44
KDTW,catboost,MinT,Lags,1.3977146902242117,1.464509975219636,-0.0667952849954243,42
KDTW,catboost,MinT,Rolling,1.4039520851061338,1.464509975219636,-0.0605578901135022,36
KDTW,catboost,MinT,NWP_atmosphere,1.4321298300271244,1.464509975219636,-0.0323801451925116,43
KDTW,catboost,MinT,Physics,1.45170271000743,1.464509975219636,-0.0128072652122059,41
KDTW,catboost,MinT,Time,1.475838373816989,1.464509975219636,0.0113283985973526,44
KDTW,xgboost,MinT,ECMWF,1.1996670898083035,1.109504909872745,0.0901621799355587,44
KDTW,xgboost,MinT,Bias,1.137806448327229,1.109504909872745,0.028301538454484,44
KDTW,xgboost,MinT,Lags,1.1218727165091351,1.109504909872745,0.0123678066363903,42
KDTW,xgboost,MinT,Rolling,1.1100005788349472,1.109504909872745,0.0004956689622022,36
KDTW,xgboost,MinT,NWP_atmosphere,1.1286431371638206,1.109504909872745,0.0191382272910756,43
KDTW,xgboost,MinT,Physics,1.1052746785952985,1.109504909872745,-0.0042302312774467,41
KDTW,xgboost,MinT,Time,1.169364514604079,1.109504909872745,0.059859604731334,44
KDTW,lightgbm,MinT,ECMWF,1.608036026639301,1.6229951102230664,-0.0149590835837654,44
KDTW,lightgbm,MinT,Bias,1.6575169621132746,1.6229951102230664,0.0345218518902081,44
KDTW,lightgbm,MinT,Lags,1.6069335394522506,1.6229951102230664,-0.0160615707708158,42
KDTW,lightgbm,MinT,Rolling,1.6739738750325637,1.6229951102230664,0.050978764809497,36
KDTW,lightgbm,MinT,NWP_atmosphere,1.6430882098454258,1.6229951102230664,0.0200930996223593,43
